Artist ID,Name,Nationality,Gender,Birth Year,Death Year
466,C. Whitney Bender,American,,1929,
467,Niels Sylvester Bendtsen,Danish,Male,1943,
468,Nair Benedicto,Brazilian,Female,1940,
469,Luis Fernando Benedit,Argentine,Male,1937,2011
470,G. A. Beneker,American,Male,1882,1934
471,Lynda Benglis,American,Female,1941,
472,Billy Al Bengston,American,Male,1934,
473,Jim Bengston,American,Male,1942,
474,Anthony Benjamin,British,Male,,
475,Gordon Bennett,American,Male,1933,2012
476,Henry Hamilton Bennett,American,Male,1843,1908
478,Ward Bennett,American,Male,1917,2003
479,Alexander Benois,Russian,Male,1870,1960
481,David Bentley,American,Male,1938,
482,Nicholas Bentley,British,Male,1907,1978
483,Thomas Hart Benton,American,Male,1889,1975
484,Roloff Beny,Canadian,Male,1924,1984
485,Etienne (Istvan) Béothy,Hungarian,Male,1897,1962
486,Christian Bérard,French,Male,1902,1949
487,Roberto Berdecio,Bolivian,Male,1913,1996
488,Vera Berdich,American,Female,1915,2003
489,Ed Bereal,American,Male,1937,
490,Stephen Lynn Berens,American,Male,1952,
491,Berger (?),British,,1938,
492,Charles Berger,American,Male,1943,
493,Jason Berger,American,Male,1924,2010
495,Hagbard Elis Bergh,Swedish,Male,1881,1954
496,Håkan Bergkvist,Swedish,Male,1946,
497,Ella Bergmann-Michel,German,Female,1896,1971
498,Paul Bergtold,Nationality unknown,Male,,
501,Henryk Berlewi,Polish,Male,1894,1967
502,Eugene Berman,American,Male,1899,1972
503,Mieczyslaw Berman,Polish,Male,1903,1975
504,Sarah Berman,American,Female,1895,1957
505,Wallace Berman,American,Male,1926,1976
506,Zeke Berman,American,Male,1951,
507,Cundo Bermúdez,Cuban,Male,1914,2008
508,José Ygnacio Bermudez,Cuban,Male,1922,1988
509,Thoni Bern,Swiss,,,
510,Camille Bernabé,French,Male,1808,1900
511,Émile Bernard,French,Male,1868,1941
512,Francis Bernard,French,Male,1900,1979
513,Valère Bernard,French,Male,1860,1936
514,Jerry Berndt,American,Male,1943,2013
515,Lucian Bernhard,American,Male,1883,1972
516,Ruth Bernhard,American,Female,1905,2006
517,Antonio Berni,Argentine,Male,1905,1981
518,Janez Bernik,Yugoslav,Male,1933,
519,Judith Bernstein,American,Female,1942,
520,Richard Bernstein,American,Male,1939,2002
521,Jean Berque,French,Male,1896,1954
522,Miguel Ortiz Berrocal,Spanish,Male,1933,2006
523,Bertall & Cie.,French,,,
524,M. Berthaud,French,,,
525,Palme Berthold,,,,
526,Berthold-Mahn (Charles Désiré),French,Male,1893,1975
527,René Bertholo,Portuguese,Male,1935,2005
528,Paul Berthon,French,Male,1872,1909
529,Jake Berthot,American,Male,1939,2014
530,Gianni Bertini,Italian,Male,1922,
531,Harry Bertoia,American,Male,1915,1978
532,Emilio Bertonati,Italian,Male,,
533,Albert Besnard,French,Male,1849,1934
534,Forrest Bess,American,Male,1911,1977
535,Ruth Bessoudo Courvoisier,Brazilian,Female,,
536,Alan Randall Best,Canadian,Male,1958,
537,William Betsch,American,Male,,
538,Pierre Betz,French,Male,1899,1969
539,Wim Beuning,Dutch,Male,1914,1986
540,Joseph Beuys,German,Male,1921,1986
541,Art Bevacqua,Nationality unknown,Male,,
542,Thomas Bewick,British,Male,1753,1828
544,Jyoti Bhatt,Indian,Male,1934,
545,Domenico Bianchi,Italian,Male,1955,
546,Pamela Bianco,American,Female,1906,1994
547,Fulvio Bianconi,Italian,Male,1915,1996
548,Carl Bianga,German,Male,,
549,Alberto Biasi,Italian,Male,1937,
550,Guido Biasi,Italian,Male,1933,
551,Ashley Bickerton,British,Male,1959,
553,George Biddle,American,Male,1885,1973
554,Charles Biederman,American,Male,1906,2004
555,James Biederman,American,Male,1947,
556,Aenne Biermann,German,Female,1898,1933
557,Wilson Bigaud,Haitian,Male,1931,2010
559,Max Bill,Swiss,Male,1908,1994
560,Joseph Binder,American,Male,1898,1972
561,Ilse Bing,American,Female,1899,1998
562,Robert J. Bingham,British,Male,1824,1870
563,Manfred Bingler,Swiss,Male,1928,
564,Peter Birkhauser,Swiss,Male,1911,1976
565,Robert Birmelin,American,Male,1933,
566,Werner Bischof,Swiss,Male,1916,1954
567,Elmer Bischoff,American,Male,1916,1991
568,Isabel Bishop,American,Female,1902,1988
569,James Bishop,American,Male,1927,
570,Michael Bishop,American,Male,1946,
571,Maureen Bisilliat,American,Female,1931,
572,Antonio Bisquert Pérez,Spanish,Male,1906,1990
573,Julius Bissier,German,Male,1893,1965
574,Roger Bissière,French,Male,1888,1964
575,George Bissill,British,Male,1896,1973
576,Auguste Rosalie Bisson,French,Male,1826,1900
577,Louis-Auguste Bisson,French,Male,1814,1876
578,Arnold Bittleman,American,Male,1933,1985
579,Dolores Dembus Bittleman,American,Female,1931,
580,Ion Bitzan,Romanian,Male,1924,1997
581,Judith Black,American,Female,1945,
582,James Wallace Black,American,Male,1825,1896
583,Roman Black,Nationality unknown,Male,,
584,Wendell Black,American,Male,1919,1972
585,Elizabeth Blackadder,British,Female,1931,
586,Morris Blackburn,American,Male,1902,1979
587,Tom Blackwell,American,Male,1938,
588,Ronald Bladen,American,Male,1918,1988
589,Nell Blaine,American,Female,1922,1996
590,Jean-Charles Blais,French,Male,1956,
591,Jeffrey Blake,American,Male,1954,
592,Peter Blake,British,Male,1932,
594,Werner Blaser,Swiss,Male,1924,
595,Edwin Howland Blashfield,American,Male,1848,1936
596,Arbit Blatas,American,Male,1908,1999
597,Ross Bleckner,American,Male,1949,
599,René Bleibtreu,French,Male,1920,
601,Blessum,Nationality unknown,,,
602,André Bloc,Nationality unknown,Male,1896,1966
603,Albert Bloch,American,Male,1882,1961
604,Julius Thiengen Bloch,American,Male,1888,1966
605,Pierrette Bloch,French,Female,1928,
606,Clarence Lincoln Block,Nationality unknown,Male,,
607,Gay Block,American,Female,1942,
608,Barbara Bloom,American,Female,1951,
609,Hyman Bloom,American,Male,1913,2009
610,Vern Blosum,American,Male,1936,
611,Sandra Blow,British,Female,1925,2006
612,Oscar Bluemner,American,Male,1867,1938
613,Norman Bluhm,American,Male,1920,1999
614,Donald Blumberg,American,Male,1935,
615,Anna Blume,German,Female,1937,
616,Bernhard Blume,German,Male,1937,2011
617,Peter Blume,American,Male,1906,1992
618,Erwin Blumenfeld,German,Male,1897,1969
622,Instituto Lina Bo e Pietro Maria Bardi,Brazilian,Female,1914,1992
623,Marcello Boccacci,Italian,Male,1914,1996
624,Umberto Boccioni,Italian,Male,1882,1916
625,Mel Bochner,American,Male,1940,
626,Bengt Böckman,Swedish,Male,1936,
627,Peter Bodner,Nationality unknown,Male,,
630,Alighiero Boetti,Italian,Male,1940,1994
631,Marinus Boezem,Dutch,Male,1934,
632,Ricardo Bofill,Spanish,Male,1939,
